Country,Year,61006,43606,185606,185506,137906,137506,128306,68606,53506,52306,46006,44206,23806
NLD,2011,0.9,91.42,98.0,100.0,0.968,0.922,83.0,0.051,36.704,1.903,118.467,16.738,88.701
NOR,2011,2.2,93.49,98.0,100.0,0.996,0.943,78.0,0.071,2.064,1.625,115.705,4.948,97.06
NZL,2011,0.9,81.23,100.0,100.0,0.963,0.902,192.0,0.179,0.818,1.231,109.082,4.419,95.155
OMN,2011,,48.0,98.0,86.0,0.913,0.795,,0.321,2.398,0.136,147.926,3.251,54.404
PAK,2011,8.0,9.0,51.0,89.0,0.719,0.528,45.0,0.577,0.621,0.329,59.395,183.34,33.248
PAN,2011,14.8,42.7,76.0,94.0,0.988,0.764,356.0,0.523,12.673,0.173,181.72,3.706,63.006
PER,2011,5.4,36.01,71.0,88.0,0.937,0.734,165.0,0.427,4.274,0.083,110.925,29.264,59.534
PHL,2011,8.9,29.0,70.0,91.0,0.999,0.677,106.0,0.446,0.895,0.117,98.556,95.57,68.082
PNG,2011,,2.0,17.0,38.0,,0.517,,0.663,-1.723,,32.119,7.472,11.276
POL,2011,1.1,61.95,95.0,98.0,1.01,0.84,216.0,0.156,3.495,0.746,131.012,38.287,81.683
PRT,2011,1.1,55.25,99.0,100.0,0.989,0.827,122.0,0.129,4.009,1.457,116.701,10.569,45.007
PRY,2011,10.4,24.764,83.0,92.0,0.958,0.697,114.0,0.508,1.376,0.057,103.08,6.334,38.6
QAT,2011,0.2,69.0,100.0,100.0,0.997,0.845,59.0,0.555,0.559,,113.083,2.036,52.582
ROU,2011,1.7,40.01,80.0,100.0,0.985,0.798,151.0,0.362,1.292,0.496,115.161,20.337,88.2
RUS,2011,,49.0,88.0,96.0,1.031,0.789,527.0,0.311,2.685,1.013,141.787,143.703,91.826
SAU,2011,,47.5,99.0,99.0,0.881,0.824,174.0,0.623,2.43,0.898,191.031,28.268,61.828
SGP,2011,0.3,71.0,100.0,100.0,0.98,0.914,254.0,0.102,17.596,2.146,148.078,5.264,76.7
SLV,2011,70.6,18.9,86.0,91.0,0.964,0.656,410.0,0.442,0.604,0.036,133.903,6.211,38.557
SRB,2011,1.5,42.2,97.0,89.0,0.969,0.772,123.0,0.218,10.002,0.724,113.591,8.964,84.23
SVK,2011,1.6,74.44,98.0,99.0,0.987,0.836,195.0,0.194,5.527,0.663,110.614,5.409,97.142
SVN,2011,0.8,67.34,99.0,100.0,1.012,0.883,62.0,0.077,1.707,2.424,105.716,2.051,96.018
SWE,2011,0.9,92.77,99.0,100.0,0.996,0.906,70.0,0.049,1.238,3.249,120.995,9.467,86.278
SWZ,2011,14.0,18.13,56.0,64.0,0.918,0.528,307.0,0.571,2.048,,71.503,1.072,25.068
SYR,2011,,22.5,92.0,96.0,0.84,0.642,,0.551,,,61.271,21.082,35.452
THA,2011,4.9,23.67,96.0,98.0,1.002,0.729,332.0,0.309,0.667,0.361,114.708,67.518,39.173
TJK,2011,1.6,13.03,94.0,72.0,0.796,0.634,,0.37,2.237,0.121,82.156,7.698,93.236
TTO,2011,26.4,55.2,93.0,97.0,0.998,0.786,321.0,0.352,0.161,0.04,136.673,1.336,62.164
TUN,2011,,39.1,87.0,93.0,0.886,0.719,195.0,0.306,0.944,0.709,115.321,10.742,40.446
TUR,2011,4.2,43.066,93.0,98.0,0.91,0.759,175.0,0.381,1.944,0.8,88.942,73.443,47.859
TZA,2011,8.7,3.2,21.0,46.0,0.922,0.492,81.0,0.562,3.547,,56.195,45.674,10.257
UGA,2011,10.7,13.014,18.0,41.0,0.856,0.494,91.0,0.558,4.432,,49.876,33.477,29.324
UKR,2011,,28.708,96.0,95.0,1.002,0.737,338.0,0.333,4.417,0.738,121.942,45.62,93.94
URY,2011,5.9,51.405,95.0,99.0,1.01,0.783,268.0,0.326,5.609,0.349,141.215,3.369,51.212
USA,2011,4.7,69.729,100.0,99.0,0.996,0.914,724.0,0.25,1.695,2.77,95.449,311.584,94.903
UZB,2011,,18.6,99.0,96.0,0.943,0.672,,,3.561,0.195,87.8,28.977,
VEN,2011,47.8,40.22,94.0,96.0,1.022,0.764,,0.474,1.85,0.153,99.634,28.888,63.04
VNM,2011,1.5,35.07,73.0,89.0,0.993,0.663,126.0,0.328,5.482,0.19,143.261,88.871,69.152
ZAF,2011,29.8,33.97,70.0,90.0,0.984,0.663,305.0,0.433,0.994,0.735,123.068,52.004,72.219
ZMB,2011,6.0,11.5,25.0,56.0,0.92,0.541,,0.592,4.725,,58.222,14.023,34.97
ARE,2012,0.8,85.0,99.0,96.0,0.955,0.832,110.0,0.227,2.554,,150.688,9.142,66.005
ARG,2012,,55.8,94.0,99.0,0.989,0.823,148.0,0.365,2.807,0.635,154.059,41.755,59.684
ARM,2012,2.3,37.5,92.0,99.0,0.969,0.737,165.0,0.319,4.677,0.239,115.207,2.884,97.155
AUS,2012,1.1,79.0,100.0,100.0,0.976,0.932,129.0,0.127,3.722,,106.261,22.904,94.449
AUT,2012,0.9,80.03,100.0,100.0,0.961,0.899,103.0,0.102,1.275,2.915,159.817,8.502,100.0
AZE,2012,2.2,54.2,87.0,88.0,0.936,0.736,224.0,0.303,7.596,0.214,109.288,9.265,95.57
BDI,2012,5.4,1.22,46.0,58.0,0.988,0.416,68.0,0.539,0.026,,24.304,9.246,7.518
BEL,2012,1.8,80.72,99.0,100.0,0.97,0.905,101.0,0.081,1.342,2.273,111.078,11.085,80.29
BFA,2012,0.7,3.725,18.0,50.0,0.844,0.394,30.0,0.609,2.949,,60.201,16.571,
BGR,2012,1.9,51.9,86.0,99.0,0.991,0.786,130.0,0.222,3.317,0.605,146.997,7.334,94.304
BHR,2012,0.3,88.0,100.0,100.0,0.942,0.8,177.0,0.221,5.023,,163.384,1.3,56.42
